Rev_Title,Rev_Rate,Rev_Bdy,Rev_Hlp,Rev_Home,Prod_ID
comment rester poli devant ça !!!,1.0,jai acheté ce produit pour appairer un casque bluetoothproduit arriver et installer et là tout commence vraiment produit non reconnu puis reconnu mais impossible de lactiver jutilise les drivers téléchargeables et là pas mieuxje possède un ordinateur sous  dernière éditionjai un dongle com one en bluetooth  qui fonctionne parfaitement en dépit de son âge antédiluvienle problème vient de son débit qui occasionne de microcoupures de sondonc ce produit ne fonctionne pas en dépit des différents action menée et ce sont donc des € dépensés en pure perte,1,France,1
A eviter,1.0,jai acheter cet adaptateur bluetooth pour connecter une manette xbox  à mon pc sous windows  pour jouer à fortnite au départ tout avait lair de fonctionner  manette reconnue voyant manette xbox passant de glignotant à non clignotant mais dans un second temps impossible dutiliser la manette car napparait pas dans la configuration du pcle plus grave cest quaprès quelques minutes de branchement jai eu un crash de mon pc avec le message derreur suivant usb device over current status detected jai eu beaucoup de difficultés à corriger le problème après avoir désinstallé  ladaptateur bluetoothbref achat à déconseiller suite à ma mauvaise expérience,0,France,1
Quelle Galère à installer sur WIN10 (migration de WIN7),2.0,au bout de  tentatives ça marche  le dongle est enfin reconnu par bluesoleil qui est très capricieuxau début bs ne démarrait que si je la lançais en mode administrateur mais ne fonctionnait pas pour autantpar que mystère il sest mis à fonctionner contrairement à ce qui est dit sur le cd et dans la doc  pour  il faut installer le driver  si  est non natif  cad que cest une migration à partir de  dit installé à partir du dvd fourni cela ne fonctionnait pas mais fonctionnait à partir de la même version téléchargée sur le site de avantreele dongle est reconnu dorigine csr pas ivtmais yatil un dongle bt qui fonctionne a tous les coups fp,1,France,1
"Fait très bien le job , très réactif",4.0,bonjour jai acheté ce dongle bluetooth pour la deuxième fois car extrêmement content du premier par contre bizarrement le premier je lavait branché à une usb dun pc et il etait plug and play et cest installé seul mais par contre le deuxième il a fallut que je télécharge le logiciel gratuit pour linstaller pourtant mes  pc sont des windows  convertis en windows  et tout les deux en version  familiale sinon aucuns soucis rencontrés avec les  dongles que ce soit dans le transfert de données android où pour la diffusion de musique à  mètres aucunes coupures avec mes  casques bose de plus il est possible dutiliser  sources en simultané je recommande,0,France,1
Une belle blague pour jouer,1.0,la reconnaissance sous  se fait sans problème par contre si vous comptiez jouer avec une manette vous pouvez oublier la portée du bluetooth est ridicule entre  et  la latence se fait déjà bien ressentir au delà de  ça décroche très facilement si je voulais jouer sans fil cétait justement pour pouvoir jouer à mon pc sur ma tv qui est reliée en hdmi intérêt néant pour quelquun qui souhaite lutiliser pour jouer,4,France,1
USB Bluetooth ATTTENTION AU PILOTE,1.0,cette clé bluetooth fonctionne bien sauf que elle met le désordre dans votre connexion réseaux renseigné vous dabord sur les drivers bluesoleil ils sont vraiment très mauvais sur  plus quoi que vous fassiez une fois installé vous perdez l’icône de connexion réseau sur win  cest très désagréable et il nexiste aucune solution sur le weba cause des drivers pilotes de mauvaise qualité sur  une étoilessur  et ubuntu fonctionne bien pas de problème pas besoin de driver cest du plug and play,2,France,1
Clé fonctionelle mais interface d'un autre âge,3.0,achetée pour être utilisée sur windows  na pas été des plus simple mais tout fonctionnait au bout de  minutes et après un redémarrage du pcau niveau du signal ce nest vraiment pas génial a  mètres ça coupe déjà avec mon clavier bluetoothle gros point noir est au niveau de linterface logicielle qui est extrêmement moche et peu ergonomiquepour l’utilisation assez rare que jen fait elle me suffit mais je ne recommande pas ce produit,1,France,1
Acheté pour manette PS4 via PC,5.0,je me suis décidé après avoir vu un commentaire indiquant que la clé faisait parfaitement fonctionner la manette  via le pc en utilisant quand même un logiciel tiers  confirme que ça marche à peine brancher la clé bluetooh sur le pcun conseil dailleurs  si votre clé marche sans installer les drivers par le cd fourni alors laissez comme ça jai cru comprendre que le logiciel installé par le cd de drivers bluesoleil pouvait rentrer en conflit avec certains logiciels ce qui empêcherait leur bon fonctionnementtrès satisfait du produit ,3,France,1
Très bon produit,5.0,la connexion sous windows  est automatique il suffit juste de brancher la clé sur le pcje men sers avec un clavier bluetooth avec capteur dempreinte et les airpods et les  périphériques fonctionnent parfaitement ensembletrès satisfait pour avoir du bluetooth  le pas cher,4,France,1
Finalement parfait !!!,4.0,après un début difficile mais javoue que cest de ma faute le dongle est parfait pour moi  je ne peux donner dexpérience dans le domaine du jeu mais pour pouvoir transmettre le son sur mon enceinte bluetooth pendant la vidéoprojection dun film cest juste parfait linstallation au final est hyper simple je suis sous windows  car le plug and play fonctionne parfaitement lappairage avec votre appareil est simple et la portée sans décrochage est de lordre de  à  mètres merci à léquipe davantree pour la réactivité et les conseils  qui me permettent de donner cet avis très favorable alors que jétais sur le point de retourner le dongle  jaurais eu tort si vous avez un soucis cela peut arriver   contactezles je recommande ce produit ,0,France,1
PARFAIT DONGLE BLUETOOTH,5.0,parfait fonctionne très bien produit acheté pour coupler ma manette xbox one a mon pc aucun soucis cela fonctionne très bienvous aurez simplement a brancher le dongle bluetooth puis aller dans les paramètres de votre pc cliquer sur ajouter nouveau matériel bluetooth et votre manette sera reconnu puis coupler la et le tour es jouéaucun cd dinstallation ni pilotes pour les systèmes dexploitation win  ou  cela fonctionne directementpoints positifs très rapide dinstallationfonctionne avec manette xbox oneprixvoyant dappairagenotice en françaispoints négatif aucunconclusion parfait fonctionne très très bien très facile dutilisation et marche sans soucis pour une manette xbox oneje recommande ce produit,0,France,1
Driver créateur de problèmes,1.0,bonjourau début jétais sceptique car jai vu pas mal davis négatifs mais face aux commentaires dutilisateurs satisfaits je me suis lancéet bien je naurais pas dû  en effet les commentaires disent vraile driver à installer fait complètement buguer mon pc laffichage de la fenêtre utilisateur avec le mot de passe pour entrer dans windows mets  plombes à safficher la wifi déconne et au final la clé que jai reçu doit être défectueuse car elle nest reconnu nulle partje lai branché sur plusieurs pc et il ny a aucun effet la clé ne sallume pas los német pas le son de branchement dun periph bluetooth bref jai juste le driver qui fait tout déconner qui lui marche bien dans ce sens làjai acheté la asus on verra biennachetez pas cette clé,1,France,1
Clé Usb BT de qualité,4.0,cette clé fait parfaitement son travail elle est reconnue directement sous  pour  vous pouvez installer les drivers fournis avec la clé si besoin jai réussi à connecter mon casque audio bt sans souci pour les utilisateurs linux cette clé fonctionne aussi parfaitement même si cela nest pas mentionné dans la liste de compatibilité il faut juste installer les bons paquets bluez et ces différentes dépendances et cela devrait rouler tout seul  en tout cas cela fonctionne parfaitement sous archlinux avec lenvironnement plasma  remarque cependant sous  le démarrage de la session est plus lent je pense que la détection de la clé ralenti un peu le tout mais rien de dramatique il faut juste patienter quelques secondes de plus il y a aussi une petite diode verte sur la clé qui indique lactivitébref un produit qui respire la qualité tout comme le vendeur vous ne serez pas déçu,1,France,1
Mauvaise stabilité de connexion,2.0,javais acheté cette clé pour écouter de la musique avec mon casque boseje devais rester au plus proche de ma tour de pc pour bien capter le bluetooth et avoir une bonne qualité dès que je méloignais ça grésillait jen venais à devoir connecter mon casque en filaire parce que je nen pouvais plus de me coller à ma tour je me suis toujours dis que ça venait des interférences dans mon appartement mais depuis que jai déménagé la situation est la même jai acheté une clé tplink  à € moins cher et miracle  je peux méloigner denviron  mètres de mon pc sans perte de qualité découte moralité  prenez des marques connues même si quelques fois cest plus cher  en l’occurrence ici non ,1,France,1
Permet de faire fonctionner une souris BlueTooth 4.0 sous Windows 7 (Mode Low Energy),5.0,jai une souris bluetooth   microsoft qui ne fonctionnait plus sous widows  après toute période dinactivité en cherchant il semble que les souris  soient males supportées par microsoft et sur beaucoup de laptop avec le driver natifavec cet adaptateur tout fonctionne correctement pour parametrer une souris bluetooth  il faut installer le soft du site avantreepuisaller sur licon bluetooth choisir  functions  hid  add a device cela a fonctionné dans mon casne pas faire explore bluetooth places  ni display classic view cela namene à rien mais pourtant logique au premier passage ,1,France,1
Très bon mais avec le driver,5.0,attention le plug and play sous windows   version   na pas fonctionner pour moigalaxy  appairage mais pas de connexionaprès installation du pilote et soft aucun soucis fonctionne bien et rapidementvoila pourquoi je nai pas  mis une étoile à facile a installer sans driver  pilote  faut un peu chercher pour lenvoie  de fichierje met la manipulation que jai faite pour mon  sur envoyer des objet dans le logiciel bluesoleilchoisir le fichier a envoyer il va mettre pim file mettre sur tout ou allenvoyer,0,France,1
Excellent produit...,5.0,̀me dongle blue tooth pour un pc sous windows  le meilleur des trois sans aucune comparaison possible directement reconnu par le système il procure un son dexcellente qualité tant à lenregistrement quà la lecture il me permet  enfin  de pouvoir profiter dun son dexcellente qualité sans souffle ni coupure ni soubresaut vraiment un excellente produit je recommande très vivement seul hic la portée nest pas super grande en appartement tout au plus dix mètres mais pour le prix et la qualité du produit cest vraiment un must have et avantree sincèrement vraiment top encore merci ,1,France,1
Excellent...logiciel/driver très abouti pour la configuration et l'utilisation,5.0,javais besoin dun dongle usb pour mon ordinateur de bureau qui ne disposait pas de liaison bluetooth par défautje me suis fié aux commentaires sur celuici et ai tenté ma chance  bonne piochedongle livré dans un packaging assez classieux avec soin particulier au guidage du client pour une installation et une configuration sans soucia noter un logiciel de configuration livré sur minicd dans le package sil vous plaîtou à télécharger sur le site du fabricant très abouti et agréable à utiliser affichage visuel des points de connexion disponibles paramétrage automatique ou non des connexions accès à des fonctions de bas niveau de la liaison etc côté performances sans être un spécialiste la liaison avec ma barre de son milieu de gamme est impeccable vous pouvez y aller les yeux fermés,0,France,1
Enfin un dongle BT qui fonctionne !,5.0,et jen aurai essayé de ces trucs jusquà renoncer finalement jai fais une ultime tentative afin déliminer un fil qui traîne dans ma salle et menace de me faire trébucher à chaque occasion le petit logiciel fourni avec la clé bluesoleil sest installé correctement win  sur asus avec  de mémoire et  mes petites enceintes de proximité furent reconnues sans problème et la qualité de transmission de la musique est tout à fait correcte en tous cas pour lusage multimedia que jen fais noubliez surtout pas de déconnecter votre éventuelle puce dorigine sinon rien ne fonctionnera ,0,France,1
totalement inutile,1.0,totalement inutile ne fonctionne pas fonctionne une fois sur  en faisant x manipulation pour pouvoir relié le casque dessus perd la connexion dés que on éteint lordinateur quand on rallume lordi et que on veut voir un film ou autres pas moyen de relié le casque audio bref achat inutile du coup je passe par un casque filaire car perdre du temps a chercher la connexion ,4,France,1
Dongle bluetooth ok,4.0,suite à lachat dune manette sans fil bluetooth il me fallait faire lacquisition dun dongle pour pouvoir lutiliser sur mon pc ce dongle remplis parfaitement sa tâcheen revanche jenlève une étoile car jai eu des soucis de réception du signal qui mont fait un peu galérer au début je pensais que ma manette était défectueuse mais je me suis rendu compte lorsque je bougeais ma tour que je navais plus de perte de signal en faite je ne peux pas mettre le dongle derrière ma tour dordinateur car jimagine que cette dernière fait cage de faraday je laisse donc le dongle branché derrière mon clavier qui par chance contient deux port usbjai donc un petit doute sur la puissance du signal émit mais peutêtre estce simplement dû à la techno bluetooth en elle même et non le dongle,1,France,1
pas véritablement plug and play,3.0,contrairement a ce qui est mentionné dans la plupart des commentaires cet adaptateur bluetooth est retord et ceci spécialement si comme moi vous avez une version de windows  qui a été upgradée de   à  si lorsque vous pluggez votre dongle dans un port usb celui ne fonctionne pas je vous conseille  de changer de port  daller dans le gestionnaire de périphériques cliquer avec le bouton droit de la souris sous le nom de votre appareil bluetooth désinstaller lappareil en cochant désinstaller les drivers puis redémarrez votre machine chez moi il ny a que cette méthode qui ai fonctionné ninstallez pas de logiciel tiers pour la gestion de votre bluetooth sous windows  comme bluesoleil car windows doit permettre directement la gestion du bluetooth sans passer par un logiciel externe bon courage,1,France,1
Parfait pour PS4,5.0,parfait pour manette   plug and play jai coché sous  windows par défaut hide controller pour jouer a sekiro etc fonctionne sous tous mes jeux actuellement sans aucun soucis ryse son of rome sekiro avec mod pour touche  the witcher  rocket league dying light hatred control hell blade senuas sacrifice monster hunter world manhunt    outwardetc,0,France,1
Bon produit,5.0,détecté automatiquement par windows  aucun problème dinstallation ma manette  et mon clavier logitech mx  ont été reconnus en bluetooth sur mon pc sans aucun problème non plus vraiment tout petit en taille possède une petite diode qui clignote en vert pratique pour voir que le dongle fonctionne mais un peu agaçant quand on la sous les yeux se solutionne avec un peu de ruban adhésif   a voir ensuite combien de temps ce produit durera,1,France,1
Assez efficace mais gère mal l'éloignement,3.0,jutilise le dongle pour connecter un clavier sans fil sur un ancien pc relié à une tv  tant que je suis à  m de la tv tout est très réactif et fonctionne bien  par contre dès que je méloigne un peu à   m pour regarder la tv il y a des lags fréquents et parfois des pertes de signal  bref je pense que cela peut convenir parfaitement dans la cadre dusage bureautique souris ou clavier près de son pc par contre pour lutilisation telle que décrite cidessus cela fonctionne mais ce nest pas parfait,0,France,1
"Windows 10 tu branches, ça fonctionne",5.0,jai acheté des oreillettes bluetooth pour mon téléphone et je me suis dis pourquoi pas les utiliser également sur mon gros pc  jai donc acheté cette petite clé je lai branché reconnue automatiquement sous windows  ensuite je suis allé dans les paramètres bluetooth and other devices oui mon  est anglais puis jai cliqué sur add bluetooth or other device enfin jai sélectionné bluetooth et jai pu voir mes oreillettes une fois sélectionné le pairage sest fait et jai pu tester aussi bien le son que la voix sous skype cette clé fait donc le job ,0,France,1
Reconnu nativement sous W10,5.0,ne me rappelant plus trop si mon  était dorigine ou bien sil était migré depuis  jai installé les drivers du site du fabricant erruer mon  est apparemment natif donc en fait il suffisait de brancher le dongle pour quil sinstalle et fonctionne direct bref jai juste eu à désinstaller le logiciel bluesoleil qui inclus un driver incompatible et ça roule mon pc fixe a maintenant le bluetooth nécessaire pour les controleurs de mon casque de vr acer wmr super simple et super efficace donc o,0,France,1
Adaptateur Bluetooth performant,5.0,jai un pc de bureau sans bluetooth sous windows  et je souhaitais le connecter à mon casque sony bluetoothla connexion sest faite rapidement et sans problème jai simplement dû aller dans les paramètres de lordinateur pour déconnecter les hautparleurs et connecter le casque et inversement quand je veux à nouveau écouter le son via les hautparleurs très bon achat simple demploi et efficace,0,France,1
"De la grosse daube, fonctionne pas DU tout avec une manette xbox ONE S",1.0,mettez € de plus et prenez un truc officiel car là cest vraiment de la grosse daube la manette sappareil bien avec le logiciel mais impossible de la faire fonctionner sur les jeux logique car elle nest pas reconnue par windows dans les périphériques  sah quel plaisir les annonces mensongères franchement nachetez pas ça vous pouvez vérifier mes dires sur le site du constructeur puis dans la rubrique du dongle en question une vidéo youtube est liée regardez les commentairesconclusion  si vous prenez ce dongle pour votre manette xbox one s élite etc etc passez votre chemin cest éclater,1,France,1
Ne capte pas a plus de 1m !!!,1.0,si je pouvais mettre  je le ferais jachete cette cle qui est un peu plus chere que les autres pour un peu plus de qualité et au final cest ridicule les autres com négatifs sont encore trop genereux elle capte a  metre max et pas  dés que je leloigne a deux metre avec mon enceinte bluetooth le son saccade coupures etc cette meme enceinte connecté a mon ordi portable avec bluetooth integré fonctionne a  sans aucun souci cest de larnaque  premiere fois que je suis autant decu damazonmise a jour on ne pouvait pas pire et bien si aujourdhui hs,0,France,1
Très Bon produit et surtout très bon support,5.0,bonjour  je suis très content de cette clé  avantree  usb bluetooth  adaptateur donglequi fonctionne très bien quand on a compris comment le configurergrâce au support reçu par avantree vraiment efficace quand on ne saitpas comment faire toujours présent avec une réponse rapide et préciseet quand on connait cest très simple au niveau appairage les périphériquesont très bien reconnus je suis vraiment satisfaismerci pour tout,0,France,1
bidon,1.0,essaye avec skull candy vmoda epic sport wireless acun nest detecte  installe le software et essaye le pairing  mais rien ne fonctionne  nul en plus en pourvoir  comme beaucoup de bluthooth gadgets sur le marche actuel  example bluethooth transmiteurs  oui  je sais comment fonctionne les ecouteurs pour bluetooth  ainsi que oui  jai regarde vos videos tutorials  ainsi que ceux des casques  oui  le logiciel fonctionne parfaitment  ainsi que il est reconnu sous  ,0,France,1
